id,domain,last_scraped_at,ats,job_metadata
"110684","freedomhouse.org","2024-02-25 00:33:42.508+00","linkedin","{""jobCount"": ""21"", ""officeLocationType"": {""hybrid"": ""12"", ""remote"": ""7"", ""on-site"": ""2""}}"
"296263","trixlog.com","2024-03-05 23:11:12.74+00","linkedin","{""jobCount"": ""9"", ""officeLocationType"": {""remote"": ""1"", ""on-site"": ""8""}}"
"153088","pss-ti.com","2024-03-06 09:56:34.694+00","linkedin","{""jobCount"": ""25"", ""officeLocationType"": {""hybrid"": ""11"", ""remote"": ""10"", ""on-site"": ""4""}}"
"735470","bluewheelmedia.com","2024-03-08 14:59:41.697+00","linkedin","{""jobCount"": ""12"", ""officeLocations"": null, ""officeLocationType"": {""remote"": ""12""}, ""remoteOfficeLocations"": [""rochester hills, mi"", ""united states"", ""birmingham, mi""]}"
"763839","dfinsolutions.com","2024-03-18 23:21:56.538+00","linkedin","{""id"": 763839, ""jobCount"": 36, ""officeLocations"": null, ""officeLocationType"": {""hybrid"": 2, ""remote"": 30, ""on-site"": 4}, ""remoteOfficeLocations"": [""united states"", ""chicago, il"", ""ireland"", ""united kingdom""]}"
"108277","dfinsolutions.com","2024-02-25 22:48:41.751+00","linkedin","{""jobCount"": ""28"", ""officeLocationType"": {""hybrid"": ""1"", ""remote"": ""26"", ""on-site"": ""1""}}"
"143319","mouseflow.com","2024-03-05 22:58:37.779+00","linkedin","{""jobCount"": ""2"", ""officeLocations"": null, ""officeLocationType"": {""remote"": ""1"", ""on-site"": ""1""}, ""remoteOfficeLocations"": [""european union""]}"
"241703","seventh.com.br","2024-03-05 23:00:58.966+00","linkedin","{""jobCount"": ""11"", ""officeLocationType"": {""remote"": ""2"", ""on-site"": ""9""}}"
"727789","stem.com","2024-03-08 16:33:02.182+00","linkedin","{""jobCount"": ""18"", ""officeLocationType"": {""on-site"": ""17""}}"
"162470","olo.com","2024-03-18 21:18:51.763+00","linkedin","{""id"": 162470, ""jobCount"": 13, ""officeLocations"": null, ""officeLocationType"": {""hybrid"": null, ""remote"": 13, ""on-site"": null}, ""remoteOfficeLocations"": [""united states""]}"
